#edges
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
lin02, 0, 0.0010499, 5.02E-5, 9.84E-4, 8.417E-4
lin03, 0, 0.0012096, 5.25E-5, 0.0012231, 9.773E-4
lin04, 0, 0.0144167, 1.367E-4, 0.0145657, 0.0136612
lin05, 0, 0.0157253, 1.285E-4, 0.0159139, 0.0145218
lin06, 0, 0.0171502, 1.214E-4, 0.0171886, 0.0164901
lin07, 0, 0.1805408, 2.913E-4, 0.1430851, 0.1113075
lin08, 0, 0.1023903, 3.358E-4, 0.0993593, 0.0966061
lin09, 0, 0.1055121, 2.54E-4, 0.1045892, 0.1387955
lin10, 0, 0.1114815, 3.442E-4, 0.1100562, 0.1059243
lin11, 0, 2.4841919, 0.0159696, 2.4905011, 2.3682547
lin12, 0, 2.0699918, 0.0012143, 2.097646, 2.0514779
lin13, 0, 2.1673184, 0.0013424, 2.1071005, 2.0823202
lin14, 0, 2.1763265, 0.0010104, 2.1968708, 2.1319947
lin15, 0, 2.3409912, 9.211E-4, 2.2735278, 2.262523
lin16, 0, 29.4603791, 0.003223599, 29.6199715, 28.833928499
lin17, 0, 29.5102501, 0.002438001, 29.2841119, 29.0259645
lin18, 0, 29.5239884, 0.0024592, 29.5979135, 29.2121551
lin19, 0, 31.5930844, 0.0024284, 31.3965323, 31.2620933
lin20, 0, 185.492040001, 0.0059477, 185.356700399, 186.736188801
lin21, 0, 186.8349734, 0.0056963, 186.310600199, 186.036671201
lin22, 0, 188.099824199, 0.0055125, 188.031568501, 187.922955299
lin23, 0, 193.2118865, 0.005591599, 191.923620101, 191.5912186
time
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
b01, 1.2157824, 0.1949167, 0.1201868, 0.0472301, 0.0579225
b02, 0.3239877, 0.2881501, 0.1479968, 0.0937661, 0.0974996
b03, 0.4469557, 0.3582968, 0.2539158, 0.1708908, 0.2093473
b04, 0.4368489, 0.2433135, 0.2962223, 0.1108524, 0.1605397
b05, 0.4419922, 0.2700035, 0.3231779, 0.1159748, 0.2509678
b06, 0.5858573, 0.5629581, 0.5346391, 0.3714957, 0.4995682
b07, 0.5109393, 0.4689886, 0.1681268, 0.1497826, 0.1342988
b08, 0.5769126, 0.5548703, 0.2008131, 0.117168, 0.1431516
b09, 1.0150223, 0.9334035, 0.7114306, 0.6021308, 0.6159316
b10, 0.988856, 0.6858291, 0.7004523, 0.5456873, 0.5905529
b11, 0.8745651, 0.5312812, 0.6896779, 0.3526331, 0.4161338
b12, 1.3508181, 1.2220494, 1.5598032, 0.8277447, 1.0622538
b13, 1.2876623, 1.2428622, 0.4615265, 0.4619566, 0.4442218
b14, 1.5511644, 1.5202831, 0.745393, 0.696738, 0.6880175
b15, 2.3525254, 2.2711913, 1.5690076, 1.4958968, 1.5043023
b16, 1.9634698, 1.5966035, 1.3453525, 1.2279594, 1.1690529
b17, 1.937785, 1.5944539, 1.5237082, 0.9750263, 1.150166
b18, 3.0739937, 2.6818625, 2.6064504, 1.8620184, 2.4208905
c01, 26.2629588, 25.8538506, 4.5655689, 4.6005602, 4.0938589
c02, 25.1341729, 25.5144386, 4.1359188, 3.8885665, 3.9690017
c03, 66.982949, 63.5534901, 27.912128, 26.2065905, 27.8556724
c04, 93.859697, 108.7739455, 47.6081924, 42.7774979, 41.9819929
c05, 169.2424007, 176.6525984, 132.7990427, 142.0257859, 133.9571538
c06, 44.5399287, 37.2468863, 22.4400684, 22.2734915, 22.5803747
c07, 41.4947382, 43.0890446, 27.7643634, 26.4861722, 28.8605694
c08, 86.9642177, 79.3195409, 58.6435464, 46.764726, 55.3390869
c09, 131.3692061, 125.5649977, 110.0642816, 77.4590405, 110.1366772
c10, 205.360378, 215.0622975, 189.565689, 172.7673739, 185.2842164
c11, 99.6226616, 76.3491915, 98.1576651, 73.8584096, 79.1791126
c12, 115.242911, 73.680681, 97.4297879, 64.0782585, 68.8925283
c13, 171.9790455, 93.1182292, 177.7409417, 77.6126818, 88.5883181
c14, 184.021778, 88.0593066, 173.7662986, 75.5920655, 98.9477773
c15, 232.8324628, 184.4633422, 231.2975974, 148.4314762, 191.6869816
c16, 301.4161852, 124.7388385, 301.9081892, 109.8346217, 116.4437745
c17, 305.3359331, 138.415807, 305.3510178, 133.3491593, 119.3768388
c18, 301.6082742, 139.7217398, 301.715456, 165.3990065, 160.8647416
c19, 303.0044141, 137.3713054, 300.013091, 166.9514114, 138.0189081
c20, 301.7222938, 132.1392292, 302.2307101, 131.6776912, 135.5531672
d01, 124.3827397, 131.7830887, 23.6382722, 20.3080921, 18.6239003
d02, 168.7990318, 148.9165058, 25.6459181, 21.5431424, 23.8577411
d03, 300.0323226, 300.0109868, 180.071339, 168.1200513, 171.7269872
d04, 300.0294731, 300.3020355, 268.6909941, 223.7044123, 243.3357123
d05, 300.002772, 300.0128097, 300.0148356, 300.0088638, 300.0446834
d06, 179.8045079, 186.6085788, 109.2177079, 102.0991175, 107.3532157
d07, 202.621595, 220.7895762, 127.0891207, 122.3248165, 142.4290434
d08, 300.0205803, 300.0041967, 300.0711038, 297.6988334, 300.5312423
d09, 300.3753125, 300.5767102, 300.8235407, 300.0058194, 300.0205332
d10, 300.2000395, 300.199043, 300.6903381, 300.001355, 300.1377608
d11, 301.0497474, 302.0534776, 301.4444289, 301.3206976, 301.8001177
d12, 300.724147, 300.0531867, 303.150258, 287.9756689, 302.9259421
d13, 305.8519617, 301.1761929, 300.1665575, 300.0101856, 300.0306143
d14, 300.0921825, 300.0527321, 300.0382322, 300.1050758, 300.0147945
d15, 300.0025873, 300.0051988, 300.5514976, 300.5888477, 300.2183652
d16, 312.1768721, 301.6462536, 317.0166289, 306.8924735, 310.5690416
d17, 312.8877772, 303.0074773, 308.959587, 301.3763557, 307.8072035
d18, 332.6741249, 300.5532557, 318.8488631, 302.04058, 300.0245438
d19, 317.2785762, 302.4939514, 316.3940423, 300.0270953, 300.9565493
d20, 306.7469874, 300.0011561, 300.046147, 300.0249734, 300.0038759
e01, 309.7380741, 331.8598935, 125.6513004, 127.4580816, 132.296569
e02, 311.9262948, 326.4646761, 234.6887359, 208.5669903, 194.5765083
e03, 300.5603935, 300.0183197, 300.4091665, 300.015829, 300.1139399
e04, 301.7737798, 301.163337, 301.0766566, 300.2213333, 300.1837493
e05, 300.1313931, 301.6427718, 300.1146869, 300.0189233, 300.0170702
